MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001089	-49.932569
0.001088	-49.931144
0.001088	-49.929829
0.001087	-49.928924
0.001087	-49.928456
0.001086	-49.928203
0.001086	-49.927918
0.001085	-49.927792
0.001085	-49.928015
0.001084	-49.928602
0.001084	-49.929699
0.001083	-49.931404
0.001082	-49.933868
0.001082	-49.937257
0.001081	-49.941282
0.001080	-49.945657
0.001080	-49.950524
0.001079	-49.955707
0.001078	-49.961064
0.001078	-49.966592
0.001077	-49.972670
0.001076	-49.979356
0.001075	-49.986570
0.001075	-49.994198
0.001074	-50.002235
0.001073	-50.010833
0.001073	-50.019786
0.001072	-50.028790
0.001071	-50.037721
0.001071	-50.046639
0.001070	-50.055438
0.001069	-50.064208
0.001069	-50.072875
0.001068	-50.081371
0.001068	-50.089620
0.001067	-50.097469
0.001066	-50.104862
0.001066	-50.111448
0.001065	-50.117132
0.001065	-50.121876
0.001064	-50.125728
0.001064	-50.128730
0.001064	-50.130881
0.001063	-50.132210
0.001063	-50.133000
0.001063	-50.133475
0.001063	-50.133961
0.001062	-50.134566
0.001062	-50.135073
0.001062	-50.135125
0.001062	-50.134322
0.001062	-50.132567
0.001062	-50.129799
0.001062	-50.126310
0.001062	-50.122795
0.001062	-50.119268
0.001063	-50.115407
0.001063	-50.111028
0.001063	-50.106091
Mean R	Std.Dev R
0.001082	1.320454E-5
Mean T	Std.Dev T
-49.976708	0.102260
Current Position 
69.835
R(V)	Theta
0.001067	-50.168385
0.001068	-50.169204
0.001068	-50.170299
0.001068	-50.171551
0.001069	-50.172968
0.001069	-50.174523
0.001069	-50.176292
0.001069	-50.178332
0.001070	-50.180547
0.001070	-50.183320
0.001070	-50.186758
0.001070	-50.190700
0.001070	-50.194746
0.001070	-50.198528
0.001070	-50.202335
0.001071	-50.206465
0.001071	-50.211041
0.001071	-50.216171
0.001071	-50.221878
0.001071	-50.227997
0.001071	-50.234365
0.001071	-50.240726
0.001071	-50.246916
0.001072	-50.252624
0.001072	-50.257853
0.001072	-50.262878
0.001072	-50.267785
0.001072	-50.272491
0.001072	-50.276957
0.001073	-50.281150
0.001073	-50.285023
0.001073	-50.288527
0.001074	-50.291604
0.001074	-50.294247
0.001074	-50.296501
0.001075	-50.298370
0.001075	-50.299825
0.001076	-50.300992
0.001076	-50.301640
0.001077	-50.301436
0.001078	-50.300182
0.001079	-50.298351
0.001079	-50.296441
0.001080	-50.294414
0.001081	-50.292041
0.001082	-50.289348
0.001083	-50.286644
0.001084	-50.284064
0.001085	-50.281622
0.001086	-50.279458
0.001088	-50.277535
0.001089	-50.275823
0.001090	-50.274492
0.001091	-50.273603
0.001092	-50.273000
0.001093	-50.272845
0.001093	-50.273477
0.001094	-50.275015
0.001095	-50.277355
0.001095	-50.280483
0.001095	-50.284344
0.001096	-50.289085
0.001096	-50.294611
0.001095	-50.300725
0.001095	-50.307479
